state,trends
NY,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
NC,"['#VegasBorn', '#MissUniverse', '#Christmas', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid']"
ND,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
OH,"['#Browns', '#OSUgrad', '#GoBucks', '#Ohio', '#ILwx', 'Jesus', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill']"
OK,"['Jerami Grant', 'Paul George', '#Thunder', 'Bulls', 'Billy Donovan', '#Sooners', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill']"
OR,"['#RCTID', '#MondayMotivation', 'Spider-Man', 'America', '#MedicareForAll', 'Amazon', 'Santa', 'Cam Newton', 'Austin Rivers', 'Justin Fields']"
PA,"['Saints', 'Nick Foles', '#Flyers', 'Rams', 'Drew Brees', 'Austin Rivers', 'Justin Fields', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid']"
RI,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
SC,"['Cam Newton', 'Thomas Davis', 'captain munnerlyn', 'Eric Reid', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Jordan Bell']"
SD,"['#DallasCowboys', '#Omaha', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis']"
TN,"['#NSHvsOTT', '#MondayMotivation', 'JUST ANNOUNCED', 'Hermitage', 'Derrick Henry', 'Logan Ryan', '#BREAKING', 'Cam Newton', 'Austin Rivers', 'Justin Fields']"
TX,"['Saints', 'Harden', '#KeepPounding', 'Austin Rivers', 'Justin Fields', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Jordan Bell', 'Vonn Bell']"
UT,"['#Utes', '#SLUGPlaylist', '#Utah', 'Jazz', 'salt lake', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten']"
VT,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
VA,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
WA,"['Washington', '#SEAvsSF', 'Pete Carroll', '#Q13FOX', '#TogetherWeSoar', 'the seahawks', 'America', '#49ers', 'Cam Newton', 'Austin Rivers']"
WV,"['#FearTheDeer', '#Packers', 'Bears', 'Green Bay', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate']"
WI,"['#FearTheDeer', '#Packers', 'Bears', 'Green Bay', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate']"
WY,"['#GoAvsGo', 'Vance Joseph', 'mike shanahan', '#MondayMotivation', '#BroncosCountry', '#wawx', '#Nuggets', 'Cam Newton', 'Austin Rivers', 'Justin Fields']"
